processes,rank,time_ms
1,0,379.51
1,0,369.539
1,0,370.457
1,0,375.775
1,0,370.787
8,1,81.5958
8,2,81.5948
8,3,81.5962
8,4,81.5904
8,5,81.6038
8,6,81.5993
8,7,81.5964
8,0,81.6002
8,1,81.2502
8,2,81.2548
8,3,81.25
8,4,81.255
8,5,81.2513
8,6,81.2556
8,7,81.261
8,0,81.2592
8,1,81.5142
8,2,81.51
8,3,81.5056
8,4,81.506
8,5,81.5057
8,6,81.5103
8,0,81.511
8,7,81.5147
8,1,79.9356
8,2,79.9316
8,3,79.926
8,4,79.926
8,5,79.9362
8,6,79.9315
8,7,79.9267
8,0,79.932
8,1,81.0178
8,2,81.0197
8,3,81.0252
8,4,81.0263
8,5,81.0253
8,6,81.0227
8,0,81.015
8,7,81.0257
16,1,62.9517
16,2,62.9458
16,3,62.9449
16,4,62.9462
16,5,62.9438
16,6,62.9424
16,7,62.9484
16,8,62.945
16,9,62.945
16,10,62.9518
16,11,62.9495
16,12,62.9546
16,13,62.952
16,14,62.9507
16,15,62.9428
16,0,62.9437
16,1,62.5688
16,2,62.5771
16,3,62.5686
16,4,62.5689
16,5,62.5625
16,6,62.5772
16,7,62.5604
16,8,62.5686
16,9,62.5611
16,10,62.5767
16,11,62.5616
16,12,62.5658
16,13,62.5682
16,14,62.5769
16,15,62.5679
16,0,62.5671
16,1,62.4731
16,2,62.4822
16,3,62.4854
16,4,62.4811
16,5,62.4919
16,6,62.4829
16,7,62.4876
16,8,62.4821
16,9,62.4803
16,10,62.4936
16,11,62.481
16,12,62.4969
16,13,62.4868
16,14,62.4838
16,15,62.4882
16,0,62.491
16,1,62.5455
16,2,62.5443
16,3,62.5438
16,4,62.5377
16,5,62.5451
16,6,62.5365
16,7,62.5329
16,8,62.5465
16,9,62.5448
16,10,62.5386
16,11,62.5432
16,12,62.5471
16,13,62.5377
16,14,62.5383
16,15,62.5283
16,0,62.5468
16,1,62.1106
16,2,62.1183
16,3,62.112
16,4,62.1189
16,5,62.1178
16,6,62.1165
16,7,62.1105
16,8,62.1117
16,9,62.1126
16,10,62.1182
16,11,62.1089
16,12,62.1189
16,13,62.1176
16,14,62.1181
16,15,62.1094
16,0,62.113
32,1,59.3227
32,2,59.3114
32,3,59.3214
32,4,59.3258
32,5,59.3354
32,6,59.3348
32,7,59.3211
32,8,59.3366
32,9,59.3345
32,10,59.3337
32,11,59.3359
32,12,59.3344
32,13,59.3291
32,14,59.3363
32,15,59.3285
32,16,59.339
32,17,59.3363
32,18,59.3273
32,19,59.3259
32,20,59.3398
32,21,59.3314
32,22,59.3381
32,23,59.3327
32,24,59.341
32,25,59.338
32,26,59.3375
32,27,59.3381
32,28,59.3356
32,29,59.3333
32,30,59.3424
32,31,59.3338
32,0,59.3323
32,1,59.5734
32,2,59.5951
32,3,59.574
32,4,59.5947
32,5,59.5722
32,6,59.5948
32,7,59.5655
32,8,59.578
32,9,59.5682
32,10,59.5984
32,11,59.5825
32,12,59.5951
32,13,59.5711
32,14,59.5849
32,15,59.5686
32,16,59.5798
32,17,59.5714
32,18,59.6005
32,19,59.5737
32,20,59.5989
32,21,59.5696
32,22,59.585
32,23,59.5827
32,24,59.6013
32,25,59.5755
32,26,59.6021
32,27,59.5851
32,28,59.5873
32,29,59.5856
32,30,59.6006
32,31,59.5757
32,0,59.5918
32,1,60.2436
32,2,60.2602
32,3,60.2465
32,4,60.2505
32,5,60.2466
32,6,60.2622
32,7,60.2361
32,8,60.2531
32,9,60.2335
32,10,60.2556
32,11,60.25
32,12,60.2633
32,13,60.2524
32,14,60.2565
32,15,60.2458
32,16,60.263
32,17,60.2522
32,18,60.2649
32,19,60.2434
32,20,60.2643
32,21,60.2445
32,22,60.2661
32,23,60.2503
32,24,60.2648
32,25,60.2478
32,26,60.2654
32,27,60.2455
32,28,60.2674
32,29,60.258
32,30,60.2612
32,31,60.2517
32,0,60.2439
32,1,60.3644
32,2,60.3789
32,3,60.3695
32,4,60.3873
32,5,60.3567
32,6,60.3789
32,7,60.3613
32,8,60.3891
32,9,60.3677
32,10,60.38
32,11,60.3633
32,12,60.3914
32,13,60.3628
32,14,60.38
32,15,60.3645
32,16,60.3817
32,17,60.3723
32,18,60.385
32,19,60.3761
32,20,60.3918
32,21,60.3751
32,22,60.3943
32,23,60.3747
32,24,60.392
32,25,60.3752
32,26,60.3938
32,27,60.377
32,28,60.3884
32,29,60.3726
32,30,60.3963
32,31,60.3805
32,0,60.3846
32,1,59.4734
32,2,59.4742
32,3,59.4747
32,4,59.478
32,5,59.4901
32,6,59.4734
32,7,59.4791
32,8,59.4797
32,9,59.4907
32,10,59.4778
32,11,59.4899
32,12,59.4849
32,13,59.4919
32,14,59.4912
32,15,59.4934
32,16,59.4919
32,17,59.4923
32,18,59.4917
32,19,59.4919
32,20,59.4858
32,21,59.4872
32,22,59.4932
32,23,59.4874
32,24,59.4936
32,25,59.493
32,26,59.4824
32,27,59.4936
32,28,59.4885
32,29,59.4856
32,30,59.4949
32,31,59.4883
32,0,59.482
64,1,63.4841
64,2,63.5226
64,3,63.5071
64,4,63.5187
64,5,63.488
64,6,63.5177
64,7,63.4728
64,8,63.5057
64,9,63.5126
64,10,63.5231
64,11,63.5094
64,12,63.5014
64,13,63.5143
64,14,63.5217
64,15,63.4751
64,16,63.5093
64,17,63.5178
64,18,63.5161
64,19,63.5094
64,20,63.4994
64,21,63.4909
64,22,63.5074
64,23,63.5066
64,24,63.5162
64,25,63.5242
64,26,63.5152
64,27,63.5242
64,28,63.528
64,29,63.5262
64,30,63.5351
64,31,63.5149
64,32,63.5261
64,33,63.4924
64,34,63.5244
64,35,63.5136
64,36,63.5196
64,37,63.5137
64,38,63.5116
64,39,63.4792
64,40,63.5048
64,41,63.4964
64,42,63.5093
64,43,63.5014
64,44,63.5009
64,45,63.5116
64,46,63.5196
64,47,63.4837
64,48,63.5167
64,49,63.5181
64,50,63.4967
64,51,63.5015
64,52,63.5118
64,53,63.5077
64,54,63.5237
64,55,63.4918
64,56,63.5042
64,57,63.5252
64,58,63.5137
64,59,63.5225
64,60,63.5267
64,61,63.5138
64,62,63.5351
64,63,63.515
64,0,63.5244
64,1,63.4434
64,2,63.424
64,3,63.4544
64,4,63.4167
64,5,63.4469
64,6,63.4371
64,7,63.4562
64,8,63.4166
64,9,63.4333
64,10,63.3947
64,11,63.4338
64,12,63.392
64,13,63.4405
64,14,63.4159
64,15,63.4463
64,16,63.4133
64,17,63.4315
64,18,63.4229
64,19,63.4429
64,20,63.4231
64,21,63.4439
64,22,63.4405
64,23,63.457
64,24,63.4305
64,25,63.4336
64,26,63.4167
64,27,63.4473
64,28,63.3889
64,29,63.4311
64,30,63.4249
64,31,63.4576
64,32,63.4366
64,33,63.4556
64,34,63.4041
64,35,63.4564
64,36,63.4376
64,37,63.4409
64,38,63.4411
64,39,63.4585
64,40,63.3861
64,41,63.4406
64,42,63.4201
64,43,63.4535
64,44,63.4088
64,45,63.4362
64,46,63.4409
64,47,63.4601
64,48,63.4197
64,49,63.4331
64,50,63.4071
64,51,63.455
64,52,63.3893
64,53,63.4388
64,54,63.4395
64,55,63.4484
64,56,63.4167
64,57,63.4468
64,58,63.4203
64,59,63.4437
64,60,63.4242
64,61,63.4409
64,62,63.4476
64,63,63.46
64,0,63.433
64,1,63.7249
64,2,63.6759
64,3,63.71
64,4,63.6918
64,5,63.7249
64,6,63.6742
64,7,63.7098
64,8,63.6916
64,9,63.7154
64,10,63.6983
64,11,63.7216
64,12,63.6977
64,13,63.7296
64,14,63.6869
64,15,63.7233
64,16,63.6736
64,17,63.7152
64,18,63.6821
64,19,63.6964
64,20,63.6902
64,21,63.7173
64,22,63.7043
64,23,63.6952
64,24,63.714
64,25,63.7105
64,26,63.7001
64,27,63.736
64,28,63.6987
64,29,63.7364
64,30,63.7127
64,31,63.7208
64,32,63.69
64,33,63.7296
64,34,63.6994
64,35,63.7307
64,36,63.7108
64,37,63.7195
64,38,63.6956
64,39,63.7288
64,40,63.6905
64,41,63.7189
64,42,63.7003
64,43,63.7075
64,44,63.6965
64,45,63.7379
64,46,63.7098
64,47,63.7209
64,48,63.6904
